TemplateType=Offer	Version=2018.0731
sku	product-id	product-id-type	price	item-condition	quantity	add-delete
V0121	B0BV6N1BN8	1	10.55	11	0	a
V0205	B0BVNR4X6Q	1	10.55	11	0	a
V0257	B0BV6M19FD	1	10.55	11	0	a
V0267	B0BV6P9CYX	1	10.55	11	0	a
V0280	B0BV6NDBLZ	1	10.55	11	0	a
V0287	B0BV6LLFTC	1	10.55	11	0	a
V0299	B0BV6LZR15	1	13.71	11	0	a
V0301	B0BV8BMQC8	1	10.55	11	0	a
V0303	B0BV6Q5V38	1	10.55	11	0	a
V0340	B0BV8KRMZ3	1	10.55	11	0	a
V0376	B0BV6QCBHL	1	10.55	11	0	a
V0483	B0BV8PYT7C	1	10.55	11	0	a
V0600	B0BV6LD8VM	1	10.55	11	0	a
V0601	B0BV6LMMLK	1	10.55	11	0	a
V0607	B0BV6MF46Y	1	10.55	11	0	a
V0608	B0BV6LXR5G	1	10.55	11	0	a
V0610	B0BVPCK94X	1	10.55	11	0	a
V0615	B0BZB8NMYD	1	50.11	11	0	a
V0617	B0BV6LTNHR	1	10.55	11	0	a
V0628	B0BV6L8QW4	1	10.55	11	0	a
V0631	B0BV6LVS9C	1	10.55	11	0	a
V0632	B0BV6N8F1W	1	10.55	11	0	a
V0634	B0BV6P9FL5	1	10.55	11	0	a
V0635	B0BV6MJ2DB	1	10.55	11	0	a
V0638	B0BZ2GTMRY	1	10.55	11	0	a
V0664	B0BV6MLF9Z	1	10.55	11	0	a
V0666	B0BV6MPHP4	1	10.55	11	0	a
V0669	B0BVCXFBQH	1	9.49	11	0	a
V0681	B0BV8FQJ4H	1	10.55	11	0	a
V0700	B0BV6PGGCR	1	10.55	11	0	a
V0710	B0BV6NLPZV	1	13.71	11	0	a
V0723	B0BV6LV6GP	1	10.55	11	0	a
V0727	B0BV8QK124	1	10.55	11	0	a
V0728	B0BV6KF7FX	1	10.55	11	0	a
V0729	B0BV6MSLD5	1	11.60	11	0	a
V0732	B0BVD7MM4V	1	6.33	11	0	a
V0734	B0BV6P4PLM	1	10.55	11	0	a
V0735	B0BV89VS3K	1	10.55	11	0	a
V0737	B0BV6NLC4C	1	10.55	11	0	a
V0742	B0BV6NLD2X	1	10.55	11	0	a
V0751	B0BVDG2CCG	1	10.55	11	0	a
V0767	B0BV6K5HKH	1	10.55	11	0	a
V0772	B0BV6ML8DW	1	10.55	11	0	a
V0773	B0BVGSBRHX	1	10.55	11	0	a
V0775	B0BZQP5G6Y	1	10.55	11	0	a
V0778	B0BYSKF3RK	1	10.55	11	0	a
V0788	B0BV6N75YH	1	18.99	11	0	a
V0793	B0BV6NQDL4	1	10.55	11	0	a
V0794	B0BV6PCXJZ	1	10.55	11	0	a
V0796	B0BV6LLFTJ	1	10.55	11	0	a
V0807	B0BVCLMPK2	1	10.55	11	0	a
V0808	B0BV6N7JVS	1	8.33	11	0	a
V0813	B0BVCZBMM5	1	10.55	11	0	a
V0816	B0BV6N1ZD5	1	11.60	11	0	a
V0820	B0BVD94KY6	1	10.55	11	0	a
V0821	B0BV6LR2GX	1	10.55	11	0	a
V0822	B0BV6PH3TR	1	10.55	11	0	a
V0825	B0BV6KRZJ4	1	10.55	11	0	a
V0826	B0BV6L4S4Y	1	10.55	11	0	a
V0829	B0BV6P5J9H	1	10.55	11	0	a
V0832	B0BV6LTMGM	1	10.55	11	0	a
V0834	B0BV6M5KV7	1	10.55	11	0	a
V0835	B0BV6N7L35	1	10.55	11	0	a
V0837	B0BV87ZHSB	1	10.55	11	0	a
V0838	B0BV6M6N89	1	10.55	11	0	a
V0839	B0BYSJZF6J	1	10.55	11	0	a
V0841	B0BV6N76V1	1	10.55	11	0	a
V0842	B0BV6MKDQM	1	10.55	11	0	a
V0843	B0BV6PQ8Y8	1	18.99	11	0	a
V0845	B0BV6NBCQG	1	10.55	11	0	a
V0847	B0BV6NSLCR	1	10.55	11	0	a
V0859	B0BV6NMWX8	1	10.55	11	0	a
V0863	B0BYSP33YF	1	10.55	11	0	a
V0865	B0BV6P6GKS	1	10.55	11	0	a
V0867	B0BVD3VM7P	1	10.55	11	0	a
V0868	B0BYSJ285F	1	10.55	11	0	a
V0869	B0BV8S7ZKJ	1	13.71	11	0	a
V0872	B0BV6LHKFL	1	13.71	11	0	a
V0875	B0BV6MXHHT	1	10.55	11	0	a
V0879	B0BV6MG53B	1	10.55	11	0	a
V0885	B0BV6LJJGV	1	10.55	11	0	a
V0887	B0BV6L5KL6	1	10.55	11	0	a
V0889	B0BV6NKTJJ	1	10.55	11	0	a
V0891	B0BV6LGTM3	1	6.33	11	0	a
V0895	B0BVGRN6BY	1	21.10	11	0	a
V0897	B0BV6QNJBN	1	11.60	11	0	a
V0899	B0BV6P4BQF	1	10.55	11	0	a
V0900	B0BV6PMZ7F	1	10.55	11	0	a
V0905	B0G497PSDP	1	6.33	11	0	a
